Titles,Headings
pakistan,سابق چیئرمین پی ٹی آئی بیرسٹر گوہر خان کا کہنا ہے کہ ہمیں لیول پلیئنگ فیلڈ تو کیا کچھ بھی نہیں دیا جا رہا، سیاسی پارٹی سے نشان لے لیں تو وہ ختم ہو جائے گی۔
pakistan,پشاور ہائی کورٹ میں میڈیا سے گفتگو کرتے ہوئے بیرسٹر گوہر خان نے کہا کہ ہائی کورٹ میں موسمِ سرما کی چھٹیاں ہیں۔
pakistan,ان کا کہنا ہے کہ سنگل بینچ بھی الیکشن کمیشن کا فیصلہ معطل کر سکتا ہے۔
pakistan,الیکشن کمیشن کے فیصلے میں کہا گیا کہ پی ٹی آئی پارٹی آئین کے مطابق الیکشن کروانےمیں ناکام رہی۔
pakistan,بیرسٹر گوہر خان نے کہا کہ درخواست میں استدعا کی ہے کہ آج ہی کیس سماعت کے لیے مقرر کیا جائے۔
pakistan,انہوں نے مزید کہا کہ سپریم کورٹ بار بار کہہ چکی ہے کہ سیاسی جماعت کاحق ہے کہ اپنے پارٹی نشان سے الیکشن لڑے۔
pakistan,بیرسٹر گوہر نے یہ بھی کہا کہ اس الیکشن کے بعد صدر اور سینیٹ کا الیکشن بھی ہونا ہے۔
pakistan,
